55ab7adaa0ac960455378f21469a2dab,466.92,ORD,IAD,UIN||STL||DTW||IAD,PT8H31M,UIN||STL||DTW
43390c00946af5d39a78373588ba428c,598.65,CLT,DFW,BNA||OWB||STL||DFW,PT13H8M,BNA||OWB||STL
ec8bb8c6aa48b2fc77fe0fd3211e356a,766.55,ORD,DFW,BNA||OWB||STL||DFW,PT10H57M,BNA||OWB||STL
f64ce15a077b9f1ee9f43aa67ab75e0b,879.55,PHL,DFW,BNA||MWA||STL||DFW,PT10H2M,BNA||MWA||STL
3cb3c6fed792e9e3eb4e8919c5225435,618.14,IAD,ORD,BNA||OWB||STL||ORD,PT12H45M,BNA||OWB||STL
07e3625559a70f6d5453943e4cc1a2d3,565.54,DFW,CLT,BNA||MWA||STL||CLT,PT11H50M,BNA||MWA||STL
fe398d2f112fe90afda7a032edbe41c8,472.92,ORD,DFW,UIN||STL||ATL||DFW,PT9H7M,UIN||STL||ATL
bfa581f601efba222494e9ac2030b2c9,993.14,IAD,ORD,BNA||MWA||STL||ORD,PT12H45M,BNA||MWA||STL
038ad1f648fe636a5dca518bfa9651e3,555.17,CLT,DFW,ORD||UIN||STL||DFW,PT9H14M,ORD||UIN||STL
53ceda27371ba36610c9bbc2e731027a,618.65,CLT,DFW,BNA||MWA||STL||DFW,PT11H24M,BNA||MWA||STL
a25004be5ded0d8e7407cf13c5f110e2,448.15,IAD,ORD,BNA||MWA||STL||ORD,PT12H45M,BNA||MWA||STL
598c395787eeee80855a972d2e2580d9,355.42,ATL,ORD,CLT||STL||UIN||ORD,PT8H4M,CLT||STL||UIN
8ace04a09064088a50159eccfb1bea72,328.66,ORD,DFW,UIN||STL||IAH||DFW,PT9H23M,UIN||STL||IAH
44957eba9c29832018b805a12bcd97ad,604.55,DFW,ORD,BNA||MWA||STL||ORD,PT9H25M,BNA||MWA||STL
db233dd4d5d250db40d0db781af18cf5,707.55,IAD,ATL,BNA||OWB||STL||ATL,PT9H47M,BNA||OWB||STL
ba4cd77df5703ee09b754c9431822a4e,266.67,ORD,IAD,UIN||STL||CLT||IAD,PT10H,UIN||STL||CLT
2de06bc65cb65276c4fe5934bac95f44,683.65,CLT,DFW,STL||MWA||BNA||DFW,PT14H42M,STL||MWA||BNA
c1bfcb451346a4ba7186ed220de33449,636.15,ATL,ORD,STL||MWA||BNA||ORD,PT11H29M,STL||MWA||BNA
a34f57fed192f54a81603d3c7100aae8,655.55,ATL,ORD,STL||OWB||BNA||ORD,PT9H54M,STL||OWB||BNA
fd285695fa4c8af97601f09f673432b6,696.21,OAK,BOS,SLC||MCI||EWR||BOS,PT16H1M,SLC||MCI||EWR
058e9d022f1ff9347943fa05e6027d42,631.55,DEN,IAD,STL||OWB||BNA||IAD,PT9H20M,STL||OWB||BNA
73a69790f38d4a9cdf1b1f32eb34b1a5,510.55,ORD,DFW,BNA||MWA||STL||DFW,PT10H57M,BNA||MWA||STL
fc3ab6b60f37dfb8d8e7a17054c72c69,648.92,DTW,DFW,ORD||UIN||STL||DFW,PT8H59M,ORD||UIN||STL
8e7d383f3e54510dcd7f0ebd5a34f57b,359.42,IAD,ORD,CLT||STL||UIN||ORD,PT7H59M,CLT||STL||UIN
c92f8863b58c2b056c84737a7faa3f66,614.55,DEN,ORD,STL||OWB||BNA||ORD,PT9H23M,STL||OWB||BNA
4cc4a934a018457901659ca718012660,635.67,ORD,DFW,UIN||STL||ATL||DFW,PT10H57M,UIN||STL||ATL
592bb885460f42fcb4942571f30cd8d0,835.05,CLT,DFW,BNA||MWA||STL||DFW,PT9H3M,BNA||MWA||STL
7ecdb4737624791d8a8dd9ea684e9d89,573.17,EWR,ORD,CLT||STL||UIN||ORD,PT8H19M,CLT||STL||UIN
5745bc8ffb13ad93b091e3bce6316e09,604.42,CLT,DFW,ORD||UIN||STL||DFW,PT9H24M,ORD||UIN||STL
57b31d8bcc37ab7ca1e672e0d68395b4,609.52,PHL,DFW,ORD||UIN||STL||DFW,PT14H23M,ORD||UIN||STL
0beb07e4641ccbc2236e15a96adb4532,486.91,DTW,CLT,ORD||UIN||STL||CLT,PT10H20M,ORD||UIN||STL
9c7e746a96760accc1568f89a53ef1f4,424.67,ORD,LGA,UIN||STL||DTW||LGA,PT9H36M,UIN||STL||DTW
f5c3e2edbaefc14650cdabaf0f39e73d,1063.14,IAD,ORD,BNA||MWA||STL||ORD,PT12H45M,BNA||MWA||STL
e4105963945ea24cf1407703d5cfb053,510.92,ORD,DFW,UIN||STL||IAH||DFW,PT9H23M,UIN||STL||IAH
c6ac1783ec76edb725d739538c11d0b3,673.54,PHL,ORD,BNA||MWA||STL||ORD,PT9H,BNA||MWA||STL
ed73ef8c0a991427b0a727fa73e7abae,507.92,ORD,EWR,UIN||STL||DTW||EWR,PT8H45M,UIN||STL||DTW
